#{"t_start": 1771730704.409077, "env_id": "None"}
r,l,t
159.7,360,75.743818
109.1,360,75.807834
112.0,360,76.185357
142.8,360,76.252283
132.7,360,76.317233
138.25,360,76.383983
161.45,360,76.450262
132.15,360,76.515355
122.0,360,76.891984
115.65,360,76.955781
126.55,360,77.022533
97.5,360,77.087416
143.15,360,77.152633
126.45,360,77.218761
110.0,360,77.59566
149.75,360,77.663095
116.0,360,77.72848
154.2,360,77.794366
125.35,360,77.860811
93.35,360,78.23825
131.4,360,78.303189
124.45,360,78.369468
130.15,360,78.434733
128.95,360,78.500267
149.4,360,78.566852
129.45,360,78.943607
141.95,360,79.010063
146.05,360,79.075888
123.3,360,79.141546
125.55,360,79.207201
126.6,360,79.271922
117.75,360,79.650728
128.5,360,79.716722
149.55,360,79.781983
104.7,360,79.847369
113.05,360,79.911516
127.4,360,80.289015
139.5,360,80.355761
158.2,360,80.421603
135.4,360,80.488224
135.8,360,80.554622
129.5,360,80.619522
107.5,360,80.997326
146.85,360,81.06315
114.95,360,81.129146
103.2,360,81.19433
133.4,360,81.259392
112.95,360,81.324648
118.1,360,81.701954
120.5,360,81.768269
135.25,360,81.834494
107.3,360,81.898695
132.3,360,81.965395
124.4,360,82.341224
128.0,360,82.406564
94.8,360,82.472156
126.55,360,82.53672
118.0,360,82.603073
124.2,360,82.669179
137.0,360,83.046153
116.2,360,83.112316
119.15,360,83.178209
135.05,360,83.243638
127.95,360,83.309949
140.8,360,83.375464
104.85,360,83.755886
149.25,360,83.823665
124.55,360,83.888739
122.65,360,83.955787
133.05,360,84.022904
137.8,360,84.40882
93.9,360,84.47634
135.85,360,84.54387
129.15,360,84.609671
113.05,360,84.676515
154.5,360,84.744627
134.55,360,85.127645
109.35,360,85.193916
116.3,360,85.259779
126.05,360,85.326043
129.4,360,85.394504
129.65,360,85.460121
100.4,360,85.844856
148.6,360,85.912802
129.9,360,85.978829
138.8,360,86.045877
134.2,360,86.112699
128.85,360,86.177476
122.65,360,86.557488
118.55,360,86.622447
142.2,360,86.689531
129.5,360,86.75749
110.5,360,86.82365
137.5,360,87.233383
138.0,360,87.302522
115.2,360,87.371499
131.7,360,87.440177
106.65,360,87.506127
117.5,360,87.570719
124.2,360,87.951605
126.4,360,88.01784
133.45,360,88.082902
107.95,360,88.148893
140.1,360,88.213935
133.35,360,88.280234
121.25,360,88.65915
136.2,360,88.724238
121.8,360,88.790929
128.4,360,88.8568
73.6,360,88.921715
128.3,360,89.300542
127.5,360,89.36867
134.65,360,89.436266
149.2,360,89.504782
132.9,360,89.572586
137.3,360,89.640358
112.55,360,90.04844
125.9,360,90.113937
131.2,360,90.180475
136.3,360,90.247083
120.85,360,90.311496
115.6,360,90.37734
105.5,360,90.77982
126.05,360,90.846185
136.95,360,90.912576
133.1,360,90.979446
126.5,360,91.04434
148.95,360,91.458379
108.35,360,91.524652
130.25,360,91.591124
120.45,360,91.656409
137.2,360,91.723279
130.35,360,91.789238
132.95,360,92.174631
138.7,360,92.241509
125.3,360,92.30649
142.0,360,92.37295
134.0,360,92.439653
133.55,360,92.505188
85.3,360,92.881518
106.6,360,92.946066
111.15,360,93.01212
143.8,360,93.078665
105.55,360,93.142818
122.3,360,93.529265
144.65,360,93.596346
111.65,360,93.661191
120.4,360,93.735417
160.85,360,93.805975
139.85,360,93.872534
117.0,360,94.293364
135.35,360,94.382246
137.35,360,94.512337
122.65,360,94.581892
134.35,360,94.64876
133.6,360,94.715772
142.8,360,95.095615
112.65,360,95.161375
126.05,360,95.226667
116.15,360,95.292541
108.2,360,95.357305
128.85,360,95.424546
138.45,360,95.863013
136.3,360,95.976618
130.85,360,96.04924
121.75,360,96.140806
128.4,360,96.240459
145.5,360,96.794636
136.6,360,96.875889
137.85,360,96.949851
137.5,360,97.018713
124.95,360,97.087037
102.85,360,97.154592
130.05,360,97.541904
131.7,360,97.608417
136.5,360,97.674083
139.95,360,97.741593
134.8,360,97.80841
124.5,360,97.873716
