#{"t_start": 1771863127.210567, "env_id": "None"}
r,l,t
86.7,360,327.3843
37.345,360,327.674526
75.73,360,327.967703
65.15,360,328.257807
43.825,360,330.404234
100.965,360,330.67807
83.915,360,330.9528
86.79,360,331.22683
101.75,360,331.499859
78.085,360,331.774834
48.63,360,333.933672
78.55,360,334.207772
90.35,360,334.482219
89.49,360,334.753106
114.37,360,335.026891
149.865,360,337.149002
126.92,360,337.423209
111.805,360,337.707618
68.24,360,337.987214
71.635,360,338.259477
24.28,360,338.532929
112.275,360,340.714484
77.575,360,340.989748
74.98,360,341.263926
84.32,360,341.586383
84.935,360,341.902551
112.27,360,342.223816
138.565,360,344.584258
89.275,360,344.889711
124.185,360,345.174795
86.425,360,345.452828
74.705,360,345.75054
42.775,360,348.135518
16.84,360,348.458695
58.41,360,348.773849
83.485,360,349.082223
64.05,360,349.383853
106.9,360,349.671045
110.7,360,351.930012
75.915,360,352.213172
75.43,360,352.497606
78.615,360,352.778293
127.89,360,353.072675
67.585,360,353.376802
33.26,360,355.718605
53.05,360,356.015903
58.0,360,356.312054
70.61,360,356.610654
90.81,360,356.922114
146.79,360,359.374385
89.135,360,359.676516
42.585,360,359.983745
118.78,360,360.279894
85.065,360,360.581152
36.915,360,360.938155
35.585,360,364.812289
86.365,360,365.126748
80.045,360,365.429543
105.355,360,365.73584
49.0,360,366.044808
133.305,360,366.347505
65.76,360,368.694522
95.81,360,369.007087
95.985,360,369.389137
53.61,360,369.718901
89.945,360,370.050062
65.955,360,372.377665
90.49,360,372.678172
56.915,360,372.985782
121.015,360,373.294393
88.26,360,373.735091
78.4,360,374.084952
20.78,360,376.536306
88.37,360,376.847363
62.475,360,377.14525
105.97,360,377.427588
20.25,360,377.72083
89.055,360,378.010465
56.175,360,380.211734
57.615,360,380.486378
117.98,360,380.761989
83.685,360,381.036569
64.71,360,381.330602
81.065,360,383.569394
91.29,360,383.875138
44.25,360,384.18178
89.445,360,384.472794
87.35,360,384.758359
81.62,360,385.061362
48.715,360,387.977323
92.76,360,388.271581
132.885,360,388.566288
80.585,360,388.878421
102.58,360,389.176752
84.325,360,389.465764
95.84,360,391.709556
118.19,360,391.988178
74.725,360,392.269937
